explore,field_name,field_type,source_interface,source_column,description,is_headline
growth_acquisition,application_id,dimension_pk,growth_acquisition,application_id,Primary key: one row per customer application journey,no
growth_acquisition,application_date,dimension,growth_acquisition,application_submitted_at,Application submission date (UTC business date),no
growth_acquisition,channel,dimension,growth_acquisition,channel,Acquisition channel (organic/paid/referral/partnership),no
growth_acquisition,campaign,dimension,growth_acquisition,campaign_id,Campaign attribution where present,no
growth_acquisition,experiment_arm,dimension,growth_acquisition,experiment_variant,Experiment arm where a valid assignment exists,no
growth_acquisition,outcome_guardrail_flag,dimension,growth_acquisition,customer_outcome_flag,Synthetic customer-outcome guardrail flag (illustrative; prominent limitation),no
growth_acquisition,applications,measure,growth_acquisition,application_id,Count of applications,yes
growth_acquisition,approved_accounts,measure,growth_acquisition,kyc_approved,Count of KYC-approved applications,yes
growth_acquisition,funded_activations,measure,growth_acquisition,first_funded,Count of activated accounts with first funding,yes
growth_acquisition,activation_rate,measure,growth_acquisition,first_funded,Funded activations over applications with explicit denominator label,yes
referral_economics,referral_id,dimension_pk,referral_economics,referral_id,Primary key: one row per referral,no
referral_economics,referral_cohort,dimension,referral_economics,cohort,Referral cohort (invite month or campaign),no
referral_economics,qualification_date,dimension,referral_economics,qualified_at,Qualification business date,no
referral_economics,lifecycle_status,dimension,referral_economics,lifecycle_status,invited/qualified/booked/settled/reversed,no
referral_economics,invitations,measure,referral_economics,referral_id,Count of referral invitations,yes
referral_economics,qualifications,measure,referral_economics,qualified_at,Count of qualified referrals,yes
referral_economics,incremental_activated,measure,referral_economics,incremental_activated_estimate,Experiment-based incremental activation estimate (from governed dbt outputs with uncertainty),yes
referral_economics,reward_booked_cost,measure,referral_economics,reward_booked_minor,Booked reward cost in minor units (finance-owned meaning),yes
referral_economics,cost_per_incremental_activation,measure,referral_economics,cost_per_incremental_activation,Persisted ratio from dbt; never recomputed from other measures,yes
reward_reconciliation,reward_id,dimension_pk,reward_reconciliation,reward_id,Composite primary key part 1: reward,no
reward_reconciliation,reconciliation_date,dimension_pk,reward_reconciliation,reconciliation_date,Composite primary key part 2: reconciliation day,no
reward_reconciliation,lifecycle_status,dimension,reward_reconciliation,lifecycle_status,Reward lifecycle state,no
reward_reconciliation,exception_reason,dimension,reward_reconciliation,exception_reason,Reconciliation exception reason code (append-only set),no
reward_reconciliation,exception_age_days,dimension,reward_reconciliation,exception_age_days,Age of the open exception in days,no
reward_reconciliation,expected_amount,measure,reward_reconciliation,entitled_minor,Expected entitlement in minor units,yes
reward_reconciliation,booked_amount,measure,reward_reconciliation,booked_minor,Booked amount in minor units,no
reward_reconciliation,settled_amount,measure,reward_reconciliation,settled_minor,Settled amount in minor units,no
reward_reconciliation,outstanding_payable,measure,reward_reconciliation,outstanding_payable_minor,Booked minus settled minus reversed (persisted in dbt),yes
reward_reconciliation,exception_count,measure,reward_reconciliation,exception_reason,Count of exceptions by reason and age,yes
warehouse_health,model_name,dimension_pk,warehouse_health,model_name,Composite primary key part 1: model/interface,no
warehouse_health,run_date,dimension_pk,warehouse_health,run_date,Composite primary key part 2: run day,no
warehouse_health,owner,dimension,warehouse_health,owner,Interface/model owner,no
warehouse_health,freshness_status,dimension,warehouse_health,freshness_status,Freshness against declared SLO,no
warehouse_health,strategy,dimension,warehouse_health,strategy,full/incremental strategy label (Plan 3),no
warehouse_health,failing_models,measure,warehouse_health,test_pass_rate,Count of models below full test pass rate,yes
warehouse_health,stale_models,measure,warehouse_health,freshness_status,Count of models breaching freshness SLO,yes
warehouse_health,bytes_processed,measure,warehouse_health,bytes_processed,BigQuery bytes processed (null until Plan 3 measures),no
warehouse_health,estimated_cost,measure,warehouse_health,estimated_query_cost,Estimated on-demand cost with pricing date (null until Plan 3),no
