claim_id,surface,statement,claim_type,evidence_path,status,notes
tests-pass,README.md (CI badge; Testing),Full pytest suite passes,executed-local,artifacts/baseline/2026-route-c/pytest-summary.txt,verified,217 passed on 2026-07-17 at commit 9d680ab
ruff-clean,README.md (Coding standards),ruff check passes,executed-local,artifacts/baseline/2026-route-c/ruff-check.txt,verified,All checks passed on 2026-07-17
dbt-local-133,docs/GCP_WAREHOUSE.md:111,Expanded local graph builds with 133 dbt checks,executed-local,artifacts/baseline/2026-route-c/dbt-build.txt,verified,PASS=133 (34 models + 99 tests) on DuckDB dev target 2026-07-17
bq-historical-13-107,README.md (Cloud path) + docs/GCP_WAREHOUSE.md:93-98,BigQuery run loaded 13 raw tables and passed 107 dbt checks,executed-bigquery,docs/GCP_WAREHOUSE.md,historical-labelled,Correctly labelled as pre-pivot; must not be presented as current; rerun is Plan 3 scope
raw-manifest-16,README.md (Cloud path),Load manifest now covers all 16 raw tables,configured,cloud/gcp/raw_bigquery_manifest.json,verified,16 tables confirmed in manifest on 2026-07-17
cloud-run-deployed,docs/CLOUD_RUN_DEPLOYMENT.md,Private Cloud Run API and jobs were deployed and smoke-tested,executed-bigquery,docs/CLOUD_RUN_DEPLOYMENT.md,historical-unverified-current,Dated deployment evidence; current cloud state not re-verified (Plan 1 is read-only on cloud)
scheduled-jobs-contradiction,docs/GCP_WAREHOUSE.md:116-117 vs docs/CLOUD_RUN_DEPLOYMENT.md:170-173,Warehouse doc says scheduled jobs not deployed; deployment doc records Cloud Scheduler triggering jobs successfully,contradiction,both documents,contradiction-flagged,Known contradiction; resolution with dated history is Plan 4 section 7.3 scope - do not silently rewrite now
dashboard-live,README.md (badge),Live Streamlit dashboard at neobank-appuct-analytics.streamlit.app,external,https://neobank-appuct-analytics.streamlit.app/,external-not-reverified,Owner-confirmed slug (appuct is the real deployment); never change to product spelling
credibility-split,README.md + docs/CREDIBILITY.md,Every figure is either ground-truth-validated or labelled illustrative; generation and analysis are non-circular,executed-local,tests/test_no_circularity.py,verified,Non-circularity test passes in baseline suite
real-data-uci,README.md + docs/REAL_DATA_ADAPTER.md,Fairness/outcome analysis re-run on real UCI Bank Marketing data,executed-local,src/adapters/uci_bank_marketing.py + tests/test_uci_adapter.py,verified,9 adapter tests pass in baseline suite
real-data-criteo,README.md + docs/REAL_DATA_CRITEO.md,A/B estimators re-run on real randomised Criteo Uplift data,executed-local,src/adapters/criteo_uplift.py + tests/test_criteo_adapter.py,verified,Adapter tests pass in baseline suite; mandatory ad-tech caveat documented
calibration-anchors,README.md + docs/PUBLIC_DATA_CALIBRATION.md,Synthetic wellbeing/inclusion distributions calibrated to ONS/DWP/Lloyds anchors,executed-local,src/calibration/ + docs/REAL_DATA_PROVENANCE.md,verified,calibrate.py acts as regression check within pytest suite
deterministic-generation,README.md (Key features),Deterministic seeded synthetic data generation,executed-local,artifacts/baseline/2026-route-c/data-generation.txt,verified,Seed-42 CI-equivalent run reproduced locally 2026-07-17
monitoring-snapshot,README.md (badge),Weekly monitoring snapshot workflow runs,configured,.github/workflows/monitoring-snapshot.yml,configured,Workflow exists; current remote badge state not re-verified from local checkout
rbac-minimisation,README.md + docs/ACCESS_CONTROL.md,RBAC restricts individual-level sensitive wellbeing fields to governance roles,executed-local,src/access/rbac.py + tests/test_rbac.py,verified,9 RBAC tests pass in baseline suite
streamlit-7-tabs,README.md (architecture diagram),Streamlit dashboard has 7 decision tabs,configured,app/streamlit_app.py,verified,7 tabs confirmed in st.tabs() during Task 5 (Product health / Customer outcomes / Digital inclusion / Customer protection / Pricing intelligence / Experiments / Monitoring)
api-service,README.md + docs/API.md,FastAPI service returns scoring/offer/pricing decisions with reason codes,executed-local,api/ + tests,verified,API contract tests pass in baseline suite
mit-license,README.md + LICENSE,Released under MIT License,configured,LICENSE,verified,MIT (c) 2026 Cheng-Yuan King
